,Unnamed: 0,GENRE,authorKorean,authorEnglish,workTitle,translator,sourceTitle,publisher,yearCreated,authorEnglish2
196,196,Fiction,김승옥,Kim Sung-ok,"Seoul, 1964, Winter",Chong Jong-Wha,Meetings And Farewells: Modern Korean Stories,University of Queensland Press,1980.0,Kim Sung ok/Kim Sung-ok
305,305,Fiction,김지원,Kim Chi-wŏn,A Certain Beginning,"Bruce Fulton, Ju-Chan Fulton",Words Of Farewell: Stories By Korean Women Writers,Seal Press,1989.0,Kim Chi won/Kim Chi-won/Kim Chi-wŏn
308,308,Fiction,김지원,Kim Chi-wŏn,Lullaby,"Bruce Fulton, Ju-Chan Fulton",Words Of Farewell: Stories By Korean Women Writers,Seal Press,1989.0,Kim Chi won/Kim Chi-won/Kim Chi-wŏn
386,386,Fiction,박완서,Park Wan-suh,A Sketch Of The Fading Sun,Hyunjae Yee Sallee,A Sketch Of The Fading Sun,White Pine Press,1999.0,Park Wan suh/Park Wan-suh
391,391,Fiction,박완서,Park Wan-suh,During Three Day Of Autumn,Hyunjae Yee Sallee,A Sketch Of The Fading Sun,White Pine Press,1999.0,Park Wan suh/Park Wan-suh
399,399,Fiction,박완서,Park Wan-suh,"Momma's Statke, Part I",Hyunjae Yee Sallee,A Sketch Of The Fading Sun,White Pine Press,1999.0,Park Wan suh/Park Wan-suh
400,400,Fiction,박완서,Park Wan-suh,"Momma's Statke, Part II",Hyunjae Yee Sallee,A Sketch Of The Fading Sun,White Pine Press,1999.0,Park Wan suh/Park Wan-suh
401,401,Fiction,박완서,Park Wan-suh,"Momma's Statke, Part III",Hyunjae Yee Sallee,A Sketch Of The Fading Sun,White Pine Press,1999.0,Park Wan suh/Park Wan-suh
403,403,Fiction,박완서,Park Wan-suh,Poverty That Is Stolen,Hyunjae Yee Sallee,A Sketch Of The Fading Sun,White Pine Press,1999.0,Park Wan suh/Park Wan-suh
482,482,Fiction,서정인,Sŏ Chŏng-in,River (1968),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,So Chong in/So Chong-in/Sŏ Chŏng-in
483,483,Fiction,서정인,Sŏ Chŏng-in,River (1968),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,So Chong in/So Chong-in/Sŏ Chŏng-in
490,490,Fiction,선우휘,Sŏnu Hwi,Flowers Of Fire,Peter H. Lee,Flowers Of Fire: Twentieth-Century Korean Stories,The University Press of Hawaii,1974.0,Sonu Hwi/Sŏnu Hwi
492,492,Fiction,선우휘,Sŏnu Hwi,The Ducks And The Insignia,Peter H. Lee,Flowers Of Fire: Twentieth-Century Korean Stories,The University Press of Hawaii,1974.0,Sonu Hwi/Sŏnu Hwi
501,501,Fiction,성석제,Sŏng Sŏk-che,First Love (1995),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Song Sok che/Song Sok-che/Sŏng Sŏk-che
502,502,Fiction,성석제,Sŏng Sŏk-che,First Love (1995),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Song Sok che/Song Sok-che/Sŏng Sŏk-che
532,532,Fiction,송영,Song Yong,At The Stairs,Park Jason,Diary Of A Vagabond,Codhill,2008.0,Song Yong
534,534,Fiction,송영,Song Yong,Diary Of Vagabond,Park Jason,Diary Of A Vagabond,Codhill,2008.0,Song Yong
535,535,Fiction,송영,Song Yong,Friend,Park Jason,Diary Of A Vagabond,Codhill,2008.0,Song Yong
537,537,Fiction,송영,Song Yong,Season,Park Jason,Diary Of A Vagabond,Codhill,2008.0,Song Yong
538,538,Fiction,송영,Song Yong,Teacher And The Crown Prince,Park Jason,Diary Of A Vagabond,Codhill,2008.0,Song Yong
541,541,Fiction,송영,Song Yong,Three-Story House,Park Jason,Diary Of A Vagabond,Codhill,2008.0,Song Yong
585,585,Fiction,양귀자,Yang Kwija,A Distant And Beautiful Place,"Kim So-Young, Julie Pickering",A Distant And Beautiful Place,University of Hawaii Press,2003.0,Yang Kwija
586,586,Fiction,양귀자,Yang Kwija,A Vagabond Mouse,"Kim So-Young, Julie Pickering",A Distant And Beautiful Place,University of Hawaii Press,2003.0,Yang Kwija
587,587,Fiction,양귀자,Yang Kwija,Bellfinch,"Kim So-Young, Julie Pickering",A Distant And Beautiful Place,University of Hawaii Press,2003.0,Yang Kwija
588,588,Fiction,양귀자,Yang Kwija,Cold Water Pass,"Kim So-Young, Julie Pickering",A Distant And Beautiful Place,University of Hawaii Press,2003.0,Yang Kwija
589,589,Fiction,양귀자,Yang Kwija,On Rainy Days I Have To Go To Karibong-Dong,"Kim So-Young, Julie Pickering",A Distant And Beautiful Place,University of Hawaii Press,2003.0,Yang Kwija
590,590,Fiction,양귀자,Yang Kwija,Our Daily Bread,"Kim So-Young, Julie Pickering",A Distant And Beautiful Place,University of Hawaii Press,2003.0,Yang Kwija
592,592,Fiction,양귀자,Yang Kwija,The Last Land,"Kim So-Young, Julie Pickering",A Distant And Beautiful Place,University of Hawaii Press,2003.0,Yang Kwija
594,594,Fiction,양귀자,Yang Kwija,The Spark,"Kim So-Young, Julie Pickering",A Distant And Beautiful Place,University of Hawaii Press,2003.0,Yang Kwija
595,595,Fiction,양귀자,Yang Kwija,The Tearoom Woman,"Kim So-Young, Julie Pickering",A Distant And Beautiful Place,University of Hawaii Press,2003.0,Yang Kwija
597,597,Fiction,양귀자,Yang Kwija,The Underground Man,"Kim So-Young, Julie Pickering",A Distant And Beautiful Place,University of Hawaii Press,2003.0,Yang Kwija
598,598,Fiction,양귀자,Yang Kwija,The Wonmi-Dong Poet,"Kim So-Young, Julie Pickering",A Distant And Beautiful Place,University of Hawaii Press,2003.0,Yang Kwija
618,618,Fiction,오영수,Oh Young-Su,A Death At The Mill,Marshall R. Pihl,The Good People,Heinemann Asia,1985.0,Oh Young Su/Oh Young-Su
621,621,Fiction,오영수,Oh Young-Su,Migratory Birds,Marshall R. Pihl,The Good People,Heinemann Asia,1985.0,Oh Young Su/Oh Young-Su
622,622,Fiction,오영수,Oh Young-Su,Nami And The Taffyman,Marshall R. Pihl,The Good People,Heinemann Asia,1985.0,Oh Young Su/Oh Young-Su
625,625,Fiction,오영수,Oh Young-Su,Seaside Village,Marshall R. Pihl,The Good People,Heinemann Asia,1985.0,Oh Young Su/Oh Young-Su
626,626,Fiction,오영수,Oh Young-Su,Spring's Awakening,Marshall R. Pihl,The Good People,Heinemann Asia,1985.0,Oh Young Su/Oh Young-Su
628,628,Fiction,오영수,Oh Young-Su,The Girl From An Island,Marshall R. Pihl,The Good People,Heinemann Asia,1985.0,Oh Young Su/Oh Young-Su
629,629,Fiction,오영수,Oh Young-Su,The Good People,Marshall R. Pihl,The Good People,Heinemann Asia,1985.0,Oh Young Su/Oh Young-Su
630,630,Fiction,오영수,Oh Young-Su,The Woman From Hwasan,Marshall R. Pihl,The Good People,Heinemann Asia,1985.0,Oh Young Su/Oh Young-Su
631,631,Fiction,오영수,Oh Young-Su,Uncle,Marshall R. Pihl,The Good People,Heinemann Asia,1985.0,Oh Young Su/Oh Young-Su
633,633,Fiction,오영수,Oh Young-Su,Wine,Marshall R. Pihl,The Good People,Heinemann Asia,1985.0,Oh Young Su/Oh Young-Su
634,634,Fiction,오용수,O Yong-su,Adolescence,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,O Yong su/O Yong-su
635,635,Fiction,오용수,O Yong-su,Nam-I And The Taffyman,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,O Yong su/O Yong-su
636,636,Fiction,오용수,O Yong-su,Seaside Village,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,O Yong su/O Yong-su
637,637,Fiction,오용수,O Yong-su,The Echo,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,O Yong su/O Yong-su
638,638,Fiction,오용수,O Yong-su,The Girl From An Island,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,O Yong su/O Yong-su
639,639,Fiction,오용수,O Yong-su,The Migratory Bird,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,O Yong su/O Yong-su
640,640,Fiction,오용수,O Yong-su,Uncle Soldier,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,O Yong su/O Yong-su
641,641,Fiction,오용수,O Yong-su,Wild Grapes,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,O Yong su/O Yong-su
649,649,Fiction,오정희,Oh Jung-Hee,A Portrait Of Magnolias,Bruce Fulton,River Of Fire And Other Stories,Columbia University Press,2012.0,Oh Jung Hee/Oh Jung-Hee
652,652,Fiction,오정희,O Chŏng-hŭi,Chinatown,"Bruce Fulton, Ju-Chan Fulton",Words Of Farewell: Stories By Korean Women Writers,Seal Press,1989.0,O Chong hui/O Chong-hui/O Chŏng-hŭi
654,654,Fiction,오정희,O Chŏng-hŭi,Evening Game,"Bruce Fulton, Ju-Chan Fulton",Words Of Farewell: Stories By Korean Women Writers,Seal Press,1989.0,O Chong hui/O Chong-hui/O Chŏng-hŭi
655,655,Fiction,오정희,Oh Jung-Hee,Fireworks,Bruce Fulton,River Of Fire And Other Stories,Columbia University Press,2012.0,Oh Jung Hee/Oh Jung-Hee
657,657,Fiction,오정희,Oh Jung-Hee,Lake P'Aro,Bruce Fulton,River Of Fire And Other Stories,Columbia University Press,2012.0,Oh Jung Hee/Oh Jung-Hee
658,658,Fiction,오정희,Oh Jung-Hee,Morning Star,Bruce Fulton,River Of Fire And Other Stories,Columbia University Press,2012.0,Oh Jung Hee/Oh Jung-Hee
659,659,Fiction,오정희,Oh Jung-Hee,One Spring Day,Bruce Fulton,River Of Fire And Other Stories,Columbia University Press,2012.0,Oh Jung Hee/Oh Jung-Hee
660,660,Fiction,오정희,Oh Jung-Hee,River Of Fire,Bruce Fulton,River Of Fire And Other Stories,Columbia University Press,2012.0,Oh Jung Hee/Oh Jung-Hee
663,663,Fiction,오정희,O Chŏng-hŭi,The Face (1999),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,O Chong hui/O Chong-hui/O Chŏng-hŭi
664,664,Fiction,오정희,O Chŏng-hŭi,The Face (1999),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,O Chong hui/O Chong-hui/O Chŏng-hŭi
667,667,Fiction,오정희,Oh Jung-Hee,The Old Well,Bruce Fulton,River Of Fire And Other Stories,Columbia University Press,2012.0,Oh Jung Hee/Oh Jung-Hee
668,668,Fiction,오정희,Oh Jung-Hee,The Release,Bruce Fulton,River Of Fire And Other Stories,Columbia University Press,2012.0,Oh Jung Hee/Oh Jung-Hee
669,669,Fiction,오정희,Oh Jung-Hee,The Toy Shop Woman,Bruce Fulton,River Of Fire And Other Stories,Columbia University Press,2012.0,Oh Jung Hee/Oh Jung-Hee
676,676,Fiction,오정희,O Chŏng-hŭi,Words Of Farewell,"Bruce Fulton, Ju-Chan Fulton",Words Of Farewell: Stories By Korean Women Writers,Seal Press,1989.0,O Chong hui/O Chong-hui/O Chŏng-hŭi
719,719,Fiction,윤흥길,Yun Heung-gil,A Winter Commuter,Suh Ji-Moon,The House Of Twilight,Readers International,1989.0,Yun Heung gil/Yun Heung-gil
720,720,Fiction,윤흥길,Yun Heung-gil,Fuel,Suh Ji-Moon,The House Of Twilight,Readers International,1989.0,Yun Heung gil/Yun Heung-gil
728,728,Fiction,윤흥길,Yun Heung-gil,The Rainy Spell,Suh Ji-Moon,The House Of Twilight,Readers International,1989.0,Yun Heung gil/Yun Heung-gil
813,813,Fiction,이상,Yi Sang,Deathly Child,"Ahn Jung-Hyo, James B. Lee",The Wings,Jimoondang,2001.0,Yi Sang
814,814,Fiction,이상,Yi Sang,Encounters And Departures,"Ahn Jung-Hyo, James B. Lee",The Wings,Jimoondang,2001.0,Yi Sang
822,822,Fiction,이상,Yi Sang,The Wings,"Ahn Jung-Hyo, James B. Lee",The Wings,Jimoondang,2001.0,Yi Sang
870,870,Fiction,이청준,Yi Chung-Jun,Bird And Tree,Ok Young Kim Chang,Seopyeonje: The Southerners' Songs,Peter Owen,2011.0,Yi Chung Jun/Yi Chung-Jun
872,872,Fiction,이청준,Yi Chŏng-jun,Footprints In The Snow,Julie Pickering,The Prophet And Other Stories,Cornell Univ. East Asia Program,1999.0,Yi Chong jun/Yi Chong-jun/Yi Chŏng-jun
873,873,Fiction,이청준,Yi Chung-Jun,Immortal Crane Village,Ok Young Kim Chang,Seopyeonje: The Southerners' Songs,Peter Owen,2011.0,Yi Chung Jun/Yi Chung-Jun
874,874,Fiction,이청준,Yi Chung-Jun,Seopyeonje,Ok Young Kim Chang,Seopyeonje: The Southerners' Songs,Peter Owen,2011.0,Yi Chung Jun/Yi Chung-Jun
882,882,Fiction,이청준,Yi Chŏng-jun,The Falconer,Julie Pickering,The Prophet And Other Stories,Cornell Univ. East Asia Program,1999.0,Yi Chong jun/Yi Chong-jun/Yi Chŏng-jun
883,883,Fiction,이청준,Yi Chŏng-jun,The Fire Worshiper,Julie Pickering,The Prophet And Other Stories,Cornell Univ. East Asia Program,1999.0,Yi Chong jun/Yi Chong-jun/Yi Chŏng-jun
884,884,Fiction,이청준,Yi Chung-Jun,The Light Of Songs,Ok Young Kim Chang,Seopyeonje: The Southerners' Songs,Peter Owen,2011.0,Yi Chung Jun/Yi Chung-Jun
886,886,Fiction,이청준,Yi Chŏng-jun,The Prophet,Julie Pickering,The Prophet And Other Stories,Cornell Univ. East Asia Program,1999.0,Yi Chong jun/Yi Chong-jun/Yi Chŏng-jun
887,887,Fiction,이청준,Yi Chung-Jun,The Rebirth Of Words,Ok Young Kim Chang,Seopyeonje: The Southerners' Songs,Peter Owen,2011.0,Yi Chung Jun/Yi Chung-Jun
893,893,Fiction,이청준,Yi Chŏng-jun,Time's Gate,Julie Pickering,The Prophet And Other Stories,Cornell Univ. East Asia Program,1999.0,Yi Chong jun/Yi Chong-jun/Yi Chŏng-jun
898,898,Fiction,이태준,Yi T'aejun,A Tale Of Rabbits,Janet Poole,Dust And Other Stories,Columbia University Press,2018.0,Yi T'aejun
901,901,Fiction,이태준,Yi T'aejun,Before And After Liberation: A Writer's Notes,Janet Poole,Dust And Other Stories,Columbia University Press,2018.0,Yi T'aejun
904,904,Fiction,이태준,Yi T'aejun,Dust,Janet Poole,Dust And Other Stories,Columbia University Press,2018.0,Yi T'aejun
905,905,Fiction,이태준,Yi T'aejun,Evening Sun,Janet Poole,Dust And Other Stories,Columbia University Press,2018.0,Yi T'aejun
907,907,Fiction,이태준,Yi T'aejun,Omongnyǒ,Janet Poole,Dust And Other Stories,Columbia University Press,2018.0,Yi T'aejun
908,908,Fiction,이태준,Yi T'aejun,The Broker's Office,Janet Poole,Dust And Other Stories,Columbia University Press,2018.0,Yi T'aejun
909,909,Fiction,이태준,Yi T'aejun,The Frozen River P'Ae,Janet Poole,Dust And Other Stories,Columbia University Press,2018.0,Yi T'aejun
910,910,Fiction,이태준,Yi T'aejun,The Hunt,Janet Poole,Dust And Other Stories,Columbia University Press,2018.0,Yi T'aejun
911,911,Fiction,이태준,Yi T'aejun,The Rainy Season,Janet Poole,Dust And Other Stories,Columbia University Press,2018.0,Yi T'aejun
912,912,Fiction,이태준,Yi T'aejun,Tiger Grandma,Janet Poole,Dust And Other Stories,Columbia University Press,2018.0,Yi T'aejun
913,913,Fiction,이태준,Yi T'aejun,Unconditioned,Janet Poole,Dust And Other Stories,Columbia University Press,2018.0,Yi T'aejun
1008,1008,Fiction,정연희,Chung Yean-hee,Baloon,Hyun-Jae Yee Sallee,One Human Family And Other Stories,White Pine Press,2008.0,Chung Yean hee/Chung Yean-hee
1009,1009,Fiction,정연희,Chung Yean-hee,Into The Desert,Hyun-Jae Yee Sallee,One Human Family And Other Stories,White Pine Press,2008.0,Chung Yean hee/Chung Yean-hee
1010,1010,Fiction,정연희,Chung Yean-hee,Night Of The Owl,Hyun-Jae Yee Sallee,One Human Family And Other Stories,White Pine Press,2008.0,Chung Yean hee/Chung Yean-hee
1011,1011,Fiction,정연희,Chung Yean-hee,One Human Family,Hyun-Jae Yee Sallee,One Human Family And Other Stories,White Pine Press,2008.0,Chung Yean hee/Chung Yean-hee
1012,1012,Fiction,정연희,Chung Yean-hee,The Last Bus,Hyun-Jae Yee Sallee,One Human Family And Other Stories,White Pine Press,2008.0,Chung Yean hee/Chung Yean-hee
1053,1053,Fiction,조선작,Cho SunJak,An Exemplary Tale,"Kim Chan-Young, David R. Carter",The Preview And Other Stories,Asian Humanities Press,2003.0,Cho SunJak
1054,1054,Fiction,조선작,Cho SunJak,Looking For Father,"Kim Chan-Young, David R. Carter",The Preview And Other Stories,Asian Humanities Press,2003.0,Cho SunJak
1055,1055,Fiction,조선작,Cho SunJak,Rats Are Delicious,"Kim Chan-Young, David R. Carter",The Preview And Other Stories,Asian Humanities Press,2003.0,Cho SunJak
1056,1056,Fiction,조선작,Cho SunJak,The Art Competition,"Kim Chan-Young, David R. Carter",The Preview And Other Stories,Asian Humanities Press,2003.0,Cho SunJak
1057,1057,Fiction,조선작,Cho SunJak,The High-Tension Wires,"Kim Chan-Young, David R. Carter",The Preview And Other Stories,Asian Humanities Press,2003.0,Cho SunJak
1058,1058,Fiction,조선작,Cho SunJak,The Preview,"Kim Chan-Young, David R. Carter",The Preview And Other Stories,Asian Humanities Press,2003.0,Cho SunJak
1059,1059,Fiction,조선작,Cho SunJak,The Tomb Of The Patriots,"Kim Chan-Young, David R. Carter",The Preview And Other Stories,Asian Humanities Press,2003.0,Cho SunJak
1061,1061,Fiction,조선작,Cho SunJak,The Wall,"Kim Chan-Young, David R. Carter",The Preview And Other Stories,Asian Humanities Press,2003.0,Cho SunJak
1062,1062,Fiction,조선작,Cho SunJak,What Eun-Ha Said,"Kim Chan-Young, David R. Carter",The Preview And Other Stories,Asian Humanities Press,2003.0,Cho SunJak
1063,1063,Fiction,조선작,Cho SunJak,Young-Ja's Heyday,"Kim Chan-Young, David R. Carter",The Preview And Other Stories,Asian Humanities Press,2003.0,Cho SunJak
1069,1069,Fiction,조세희,Cho Se-hŭi,A Little Ball Launched By A Dwarf,"Bruce Fulton, Ju-Chan Fulton",The Dwarf,University of Hawaii Press,2006.0,Cho Se hui/Cho Se-hui/Cho Se-hŭi
1070,1070,Fiction,조세희,Cho Se-hŭi,City Of Machines,"Bruce Fulton, Ju-Chan Fulton",The Dwarf,University of Hawaii Press,2006.0,Cho Se hui/Cho Se-hui/Cho Se-hŭi
1071,1071,Fiction,조세희,Cho Se-hŭi,Epilogue,"Bruce Fulton, Ju-Chan Fulton",The Dwarf,University of Hawaii Press,2006.0,Cho Se hui/Cho Se-hui/Cho Se-hŭi
1074,1074,Fiction,조세희,Cho Se-hŭi,Knifeblade,"Bruce Fulton, Ju-Chan Fulton",The Dwarf,University of Hawaii Press,2006.0,Cho Se hui/Cho Se-hui/Cho Se-hŭi
1075,1075,Fiction,조세희,Cho Se-hŭi,On The Footbridge,"Bruce Fulton, Ju-Chan Fulton",The Dwarf,University of Hawaii Press,2006.0,Cho Se hui/Cho Se-hui/Cho Se-hŭi
1076,1076,Fiction,조세희,Cho Se-hŭi,Orbital Rotation,"Bruce Fulton, Ju-Chan Fulton",The Dwarf,University of Hawaii Press,2006.0,Cho Se hui/Cho Se-hui/Cho Se-hŭi
1077,1077,Fiction,조세희,Cho Se-hŭi,Space Travel,"Bruce Fulton, Ju-Chan Fulton",The Dwarf,University of Hawaii Press,2006.0,Cho Se hui/Cho Se-hui/Cho Se-hŭi
1079,1079,Fiction,조세희,Cho Se-hŭi,The Cost Of Living For A Family Of Ungang Laborers,"Bruce Fulton, Ju-Chan Fulton",The Dwarf,University of Hawaii Press,2006.0,Cho Se hui/Cho Se-hui/Cho Se-hŭi
1081,1081,Fiction,조세희,Cho Se-hŭi,The Fault Lies With God As Well,"Bruce Fulton, Ju-Chan Fulton",The Dwarf,University of Hawaii Press,2006.0,Cho Se hui/Cho Se-hui/Cho Se-hŭi
1082,1082,Fiction,조세희,Cho Se-hŭi,The Klein Bottle,"Bruce Fulton, Ju-Chan Fulton",The Dwarf,University of Hawaii Press,2006.0,Cho Se hui/Cho Se-hui/Cho Se-hŭi
1084,1084,Fiction,조세희,Cho Se-hŭi,The Mobius Strip,"Bruce Fulton, Ju-Chan Fulton",The Dwarf,University of Hawaii Press,2006.0,Cho Se hui/Cho Se-hui/Cho Se-hŭi
1085,1085,Fiction,조세희,Cho Se-hŭi,The Spinyfish Entering My Net,"Bruce Fulton, Ju-Chan Fulton",The Dwarf,University of Hawaii Press,2006.0,Cho Se hui/Cho Se-hui/Cho Se-hŭi
